VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,1/1/2016 0:01,1/1/2016 0:19,1,3.2,-74.00213623,40.760639190673828,1,N,-73.97289276,40.743450164794922,1,14.5,0.5,0.5,3.15,0,0.3,18.95
1,1/1/2016 0:01,1/1/2016 0:17,1,2.7,-73.99497223,40.760234832763672,1,N,-74.00152588,40.735855102539063,1,13,0.5,0.5,4.25,0,0.3,18.55
1,1/1/2016 0:01,1/1/2016 0:23,1,5,-74.00226593,40.730369567871094,1,N,-73.95168304,40.77349853515625,1,19.5,0.5,0.5,4.5,0,0.3,25.3
1,1/1/2016 0:01,1/1/2016 0:06,2,1.6,-73.98082733,40.779640197753906,1,N,-73.97141266,40.798587799072266,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,1/1/2016 0:01,1/1/2016 0:05,1,0.58,-73.99807739,40.737968444824219,1,N,-74.0041275,40.742790222167969,1,5,0.5,0.5,1.26,0,0.3,7.56
1,1/1/2016 0:01,1/1/2016 0:36,2,6,-73.99944305,40.729835510253906,1,N,-73.96417999,40.803153991699219,1,25.5,0.5,0.5,5.36,0,0.3,32.16
2,1/1/2016 0:01,1/1/2016 0:08,5,2.51,-73.93270874,40.752861022949219,1,N,-73.96361542,40.757640838623047,2,9.5,0.5,0.5,0,0,0.3,10.8
2,1/1/2016 0:01,1/1/2016 0:24,4,1.24,-73.98168945,40.768390655517578,1,N,-73.97975159,40.755538940429688,2,14.5,0.5,0.5,0,0,0.3,15.8
1,1/1/2016 0:01,1/1/2016 0:08,1,1.5,-74.00348663,40.741569519042969,1,N,-74.00235748,40.726341247558594,1,7.5,0.5,0.5,2.2,0,0.3,11
1,1/1/2016 0:01,1/1/2016 0:07,2,1.4,-73.97794342,40.783676147460938,1,N,-73.95558929,40.773441314697266,1,7,0.5,0.5,2.45,0,0.3,10.75
2,1/1/2016 0:01,1/1/2016 0:11,1,1.89,-73.99256897,40.739616394042969,1,N,-73.99531555,40.721817016601563,2,9,0.5,0.5,0,0,0.3,10.3
2,1/1/2016 0:01,1/1/2016 0:18,1,2.15,-73.97776031,40.752281188964844,1,N,-73.95682526,40.768070220947266,1,13,0.5,0.5,2.86,0,0.3,17.16
1,1/1/2016 0:01,1/1/2016 0:22,1,2.5,-73.99425507,40.73199462890625,1,N,-73.9786377,40.751388549804688,2,14.5,0.5,0.5,0,0,0.3,15.8
2,1/1/2016 0:01,1/1/2016 0:09,5,1.89,-73.98516083,40.744529724121094,1,N,-73.96546173,40.762851715087891,1,8.5,0.5,0.5,1,0,0.3,10.8
1,1/1/2016 0:01,1/1/2016 0:05,1,0.6,-73.98229218,40.751331329345703,1,N,-73.99134064,40.750339508056641,1,5,0.5,0.5,0,0,0.3,6.3
1,1/1/2016 0:01,1/1/2016 0:38,1,24,-73.99230194,40.749290466308594,5,N,-74.32032776,40.720523834228516,1,140,0,0,30.95,14.5,0.3,185.75
2,1/1/2016 0:01,1/1/2016 0:09,1,2.34,-73.93431854,40.751483917236328,1,N,-73.97251129,40.764915466308594,2,9.5,0.5,0.5,0,0,0.3,10.8
2,1/1/2016 0:01,1/1/2016 0:31,1,13.64,-73.78192139,40.644760131835938,1,N,-73.97924805,40.661869049072266,2,39,0.5,0.5,0,0,0.3,40.3
2,1/1/2016 0:01,1/1/2016 0:34,5,3.44,-73.95953369,40.782745361328125,1,N,-73.99375916,40.745582580566406,2,21.5,0.5,0.5,0,0,0.3,22.8
2,1/1/2016 0:01,1/1/2016 0:13,1,7.04,-73.95264435,40.776496887207031,1,N,-74.00563812,40.709121704101563,1,20.5,0.5,0.5,5.45,0,0.3,27.25
1,1/1/2016 0:01,1/1/2016 0:03,1,0.2,-73.9956131,40.764671325683594,1,N,-73.99214935,40.764148712158203,2,3.5,0.5,0.5,0,0,0.3,4.8
1,1/1/2016 0:01,1/1/2016 0:13,1,0.9,-73.97743225,40.758316040039063,1,N,-73.98344421,40.766860961914062,2,8.5,0.5,0.5,0,0,0.3,9.8
1,1/1/2016 0:01,1/1/2016 0:11,1,2,-73.927742,40.697872161865234,1,N,-73.96121216,40.698276519775391,1,9.5,0.5,0.5,2.7,0,0.3,13.5
1,1/1/2016 0:01,1/1/2016 0:03,1,0.3,-73.96659088,40.757587432861328,1,N,-73.96577454,40.754348754882813,1,3.5,0.5,0.5,1.2,0,0.3,6
1,1/1/2016 0:01,1/1/2016 0:15,1,1.8,-73.95474243,40.765506744384766,1,N,-73.98191833,40.766231536865234,1,10.5,0.5,0.5,0,0,0.3,11.8
2,1/1/2016 0:01,1/1/2016 0:03,2,0.37,-73.99769592,40.737659454345703,1,N,-73.99124146,40.734981536865234,2,3.5,0.5,0.5,0,0,0.3,4.8
1,1/1/2016 0:01,1/1/2016 0:07,2,1,-73.96755219,40.756858825683594,1,N,-73.97830963,40.748611450195313,1,6,0.5,0.5,1.45,0,0.3,8.75
1,1/1/2016 0:01,1/1/2016 0:14,1,5.1,-73.96469879,40.796798706054688,1,N,-74.0022049,40.749237060546875,2,17,0.5,0.5,0,0,0.3,18.3
1,1/1/2016 0:01,1/1/2016 0:13,1,1.8,-73.97010803,40.759799957275391,1,N,-73.98935699,40.742988586425781,1,9.5,0.5,0.5,2,0,0.3,12.8
2,1/1/2016 0:01,1/1/2016 0:12,1,2.25,-74.00189972,40.739406585693359,1,N,-73.97486877,40.744388580322266,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,1/1/2016 0:01,1/1/2016 0:06,1,0.87,-73.95522308,40.804378509521484,1,N,-73.96369934,40.798000335693359,2,5.5,0.5,0.5,0,0,0.3,6.8
2,1/1/2016 0:01,1/1/2016 0:27,6,8.78,-73.99662781,40.724601745605469,1,N,-73.86997986,40.755290985107422,2,27,0.5,0.5,0,0,0.3,28.3
1,1/1/2016 0:01,1/1/2016 0:10,1,1.6,-74.00466919,40.715957641601563,1,N,-73.98986053,40.734043121337891,2,8,0.5,0.5,0,0,0.3,9.3
2,1/1/2016 0:01,1/1/2016 0:09,1,1.67,-73.94828033,40.782630920410156,1,N,-73.9384613,40.792289733886719,1,8,0.5,0.5,1.86,0,0.3,11.16
2,1/1/2016 0:01,1/1/2016 0:09,1,1.11,-73.99861145,40.738170623779297,1,N,-73.99459076,40.75054931640625,1,7,0.5,0.5,1.66,0,0.3,9.96
1,1/1/2016 0:01,1/1/2016 0:23,2,6.5,-73.97226715,40.759864807128906,1,N,-73.87660217,40.748664855957031,2,22.5,0.5,0.5,0,0,0.3,23.8
1,1/1/2016 0:01,1/1/2016 0:09,1,1.9,-73.95974731,40.801292419433594,1,N,-73.95064545,40.822933197021484,2,9,0.5,0.5,0,0,0.3,10.3
2,1/1/2016 0:01,1/1/2016 0:21,1,2.94,-73.97940063,40.739768981933594,1,N,-73.99954987,40.742519378662109,1,15,0.5,0.5,0,0,0.3,16.3
2,1/1/2016 0:01,1/1/2016 0:05,3,1.89,-73.97293091,40.752601623535156,1,N,-73.95585632,40.776050567626953,1,7.5,0.5,0.5,1,0,0.3,9.8
1,1/1/2016 0:01,1/1/2016 0:10,2,0.8,-73.97964478,40.760196685791016,1,N,-73.97485352,40.753742218017578,2,7,0.5,0.5,0,0,0.3,8.3
1,1/1/2016 0:01,1/1/2016 0:19,1,5,-73.99504089,40.760448455810547,1,N,-73.93881226,40.799385070800781,2,17.5,0.5,0.5,0,0,0.3,18.8
2,1/1/2016 0:01,1/1/2016 0:13,1,3.86,-73.97683716,40.764591217041016,1,N,-73.95410156,40.804759979248047,1,13,0.5,0.5,2.86,0,0.3,17.16
2,1/1/2016 0:01,1/1/2016 0:12,1,2.7,-74.00095367,40.730838775634766,1,N,-74.0172348,40.704917907714844,2,11,0.5,0.5,0,0,0.3,12.3
1,1/1/2016 0:01,1/1/2016 0:35,1,3.1,-73.97439575,40.763877868652344,1,N,-73.99926758,40.728160858154297,1,21,0.5,0.5,4.45,0,0.3,26.75
1,1/1/2016 0:01,1/1/2016 0:02,1,0.1,-73.95517731,40.773174285888672,1,N,-73.95623016,40.772037506103516,3,3,0.5,0.5,0,0,0.3,4.3
2,1/1/2016 0:01,1/1/2016 0:14,1,1.4,-73.98986816,40.7293701171875,1,N,-73.98392487,40.745647430419922,1,9,0.5,0.5,3.09,0,0.3,13.39
1,1/1/2016 0:01,1/1/2016 0:25,1,11.2,-73.96961212,40.757713317871094,1,N,-73.90223694,40.702812194824219,1,32.5,0.5,0.5,0,0,0.3,33.8
1,1/1/2016 0:01,1/1/2016 0:29,1,5.6,-74.00241852,40.733234405517578,1,N,-73.92458344,40.691917419433594,1,22.5,0.5,0.5,4.75,0,0.3,28.55
2,1/1/2016 0:01,1/1/2016 0:10,1,1.52,-73.97177124,40.759838104248047,1,N,-73.98751831,40.748722076416016,1,8,0.5,0.5,2.79,0,0.3,12.09
2,1/1/2016 0:01,1/1/2016 0:05,1,0.76,-73.94184875,40.829483032226563,1,N,-73.93864441,40.839866638183594,2,4.5,0.5,0.5,0,0,0.3,5.8
2,1/1/2016 0:01,1/1/2016 0:12,5,2.68,-74.01052094,40.718410491943359,1,N,-73.99134827,40.745208740234375,1,10,0.5,0.5,2,0,0.3,13.3
2,1/1/2016 0:01,1/1/2016 0:25,1,2.7,-74.00708771,40.719131469726562,1,N,-73.98757935,40.749889373779297,1,16,0.5,0.5,1.5,0,0.3,18.8
1,1/1/2016 0:01,1/1/2016 0:14,1,4.3,-73.99446869,40.718978881835938,1,N,-73.95662689,40.674392700195313,1,15,0.5,0.5,3.25,0,0.3,19.55
2,1/1/2016 0:01,1/1/2016 0:13,1,6.29,-73.98499298,40.773891448974609,1,N,-73.93649292,40.847770690917969,2,19.5,0.5,0.5,0,0,0.3,20.8
2,1/1/2016 0:01,1/1/2016 0:05,1,1.22,-73.86269379,40.768730163574219,1,N,-73.87529755,40.770359039306641,1,6,0.5,0.5,0,0,0.3,7.3
2,1/1/2016 0:01,1/1/2016 0:15,5,1.49,-73.99803162,40.719669342041016,1,N,-73.98390961,40.731800079345703,1,10,0.5,0.5,2.26,0,0.3,13.56
